Star,Constellation,Right,Declination,Apparent,Distance (ly),Spectral,Mass,Temperature (K),Age,Confirmed,Notes
,,ascension,,magnitude,,type,(M☉),,(Gyr),(unconfirmed),
,,,,,,,,,,planets,
Kepler-332,Lyra,19h 06m 39.1s,+47° 24′ 49″,,,,0.8,4955,unknown,3,
Kepler-331,Lyra,19h 27m 20.2s,+39° 18′ 26″,,,,0.51,4347,unknown,3,
Kepler-330,Cygnus,19h 13m 47.4s,+44° 48′ 06″,,,,0.78,5117,unknown,2,
Kepler-329,Cygnus,19h 57m 04.3s,+45° 13′ 39″,,,,0.53,4257,unknown,2,
Kepler-327,Cygnus,19h 30m 34.2s,44° 05′ 16″,,,,0.55,3799,unknown,3,
Kepler-326,Cygnus,19h 37m 18.1s,+46° 00′ 08″,,,,0.98,5105,unknown,3,
Kepler-325,Cygnus,19h 19m 20.5s,+49° 49′ 32″,,,,0.87,5752,unknown,3,
Kepler-324,Draco,19h 05m 53.2s,+49° 38′ 56″,,,,0.86,5194,unknown,2,
Kepler-323,Lyra,19h 25m 31.7s,+38° 07′ 39″,,,,1.09,5987,unknown,2,
Star,Constellation,Right,Declination,Apparent,Distance (ly),Spectral,Mass,Temperature (K),Age,Confirmed,Notes
,,ascension,,magnitude,,type,(M☉),,(Gyr),(unconfirmed),
,,,,,,,,,,planets,
TOI 732,Hydra,10h 18m 35.137s,−11° 43′ 0.242″,13.14,72,M4V,0.401,3331,5,2,-
TOI 700,Dorado,06h 28m 22.97s,−65° 34′ 43.01″,13.1,101.61,M2V,0.416,3480,1.5,3,
TOI-125,Hydrus,01h 34m 22.73s,−66° 40′ 32.95″,11.02,363,,0.859,5320,unknown,3 (2),
TOI-421,Lepus,05h 27m 24.83s,−14° 16′ 37.05″,9.931,244.3,G9V,0.852,5325,9.4,2,-
HD 108236,Centaurus,12h 26m 17.89s,−51° 21′ 46.21″,9.24,211,G3V,0.97,5730,5.8,5,-
HD 63433,Gemini,07h 49m 55.06s,+27° 21′ 47.46″,6.91,73.1,G5IV,unknown,5691.9,unknown,2,-
TYC 8998-760-1,Musca,13h 25m 12.13s,−64° 56′ 20.69″,11.19,309.4±0.9,K3IV,unknown,4783,0.017,2,-
HD 86226,Hydra,09h 56m 29.84s,–24° 05′ 57.8″,7.932,139±5,G2V,1.06,5903±31,1.5,2,-
K2-19,Virgo,11h 39m 50.4804s,+00° 36′ 12.8773″,13.002,950±20,K0V,0.918,5250±70,8,3,-
K2-3,Leo,11h 29m 20.3918s,−01° 27′ 17.280″,12.168,143.9±0.4,M0V,0.601,3835±70,1,3,-
K2-138,Aquarius,23h 15m 47.77s,−10° 50′ 58.91″,12.21,597±55,K1V,0.93,5378±60,2.3,6,-
Gliese 3293,Eridanus,04h 28m 35.72s,−25° 10′ 08.9″,11.96,59,M2.5V,0.42,3466±49,unknown,4,-
Gliese 433,Hydra,11h 35m 26.9485s,−25° 10′ 08.9″,9.79,29.8±0.1,M1.5V,0.48,3550±100,unknown,3,-
HD 192310,Capricornus,20h 15m 17.3912s,−27° 01′ 58.7121″,5.73,29.06±0.08,K2V,0.78,5069±49,8.2,2,-
XO-2,Lynx,07h 48m 07.4814s,+50° 13′ 03.2578″,11.18,496±3,K0V+K0V,unknown,unknown,6.3,4,Binary with each star orbited by two planets
BD–08 2823,Sextans,10h 00m 47.7206s,–09° 31′ 00.0428″,9.86,135.0±0.2,K4V,0.74,4746±63,4.5,2,-
L 1159-16,Aries,02h 00m 12.959s,13° 03′ 07.01″,12.298,14.584 ± 0.007,M4.5V,0.15,3158,4.8,2 (1),-
TOI-763,Centaurus,12h 57m 52.45s,−39° 45′ 27.71″,10.156,311,,0.917,5444,6.2,2 (1),-
TOI-561,Sextans,09h 52m 44.44s,+06° 12′ 57.97″,10.252,279,,0.785,5455,5,4,-
NY Virginis,Virgo,13h 38m 48.1466s,−02° 01′ 49.2095″,13.66,1800,B1VII+M,0.459,32740±400,unknown,2,Circumbinary planets
TOI-776,Centaurus,11h 54m 18.39s,−37° 33′ 09.8″,11.54,88.6,M1V,0.544,3709±70,7.8,2,
Gliese 3473,Canis Minor,08h 02m 22.88s,+03° 20′ 19.7″,12.465,89.3,M4V,0.36,3347±54,7.8,2,Orbited also by M6 dwarf LP 544–12 on wide orbit
BD-11 4672,Scutum,18h 33m 28.8323s,−11° 38′ 09.7218″,9.99,88.7,K7V,0.651,4550±110,7.4,2,
HD 133131,Libra,15h 03m 35.80651s,−27° 50′ 27.5520″,8.4,168,G2V+G2V,0.95,5799±19,6,3,"2 planets around primary, and 1 planet around secondary star"
HD 113337,Draco,13h 01m 46.9272s,63° 36′ 36.7958″,6.03,118,F6V,1.48,6774±125,0.016,2,Also debris disk and two red dwarf stars on wide orbit
HD 7449,Cetus,01h 14m 29.3222s,−05° 02′ 50.6148″,7.48,126,F9.5V,1.02,6060±42,2.2,2,Also a red dwarf star on wide orbit
HD 156279,Draco,17h 12m 23.2036s,+63° 21′ 07.532″,8.167,118.2,K0V,0.93,5453,4,2,
LHS 1140,Draco,00h 44m 59.31s,−15° 16′ 16.7″,14.18,48.9,M4.5,0.179,3216±39,5,2 (1),
HD 116029,Coma Berenices,13h 20m 39.5422s,+24° 38′ 55.3099″,7.89,402,K1IV,1.445,4894±36,2.7,2,
HD 99706,Ursa Major,11h 28m 30.2137s,+43° 57′ 59.6854″,7.65,480,K0IV,1.46,4862,2.8,2,
Gliese 1148,Ursa Major,11h 41m 44.6360s,+42° 45′ 07.1048″,13.795,35.94,M4Ve,0.34,3190,unknown,2,
K2-229,Virgo,12h 27m 29.5848s,−06° 43′ 18.7660″,10.985,335,K2V,0.837,5185,5.4,3,
HD 216520,Cepheus,22h 47m 31.8765s,83° 41′ 49.2993″,7.53,63.78,K0V,0.82,5103±20,6.7,2,
CD-23 12010,Libra,15h 00m 29.4845s,−24° 27′ 14.6952″,9.937,89.73,K7V,unknown,unknown,unknown,2,Also called TOI-836
EPIC 201085153,Virgo,12h 00m 29.4845s,−7° 7′ 48″,17.33,,,unknown,3945±386,unknown,2 (1),
K2-299,Aquarius,22h 05m 06.5342s,−14° 07′ 18.0135″,13.12,1220,,unknown,5724±72,unknown,3,
K2-301,Aquarius,22h 30m 03.2610s,−13° 36′ 36.4159″,16.74,1491,,unknown,4114±99,unknown,2,
TOI-942,Lepus,05h 06m 35.91s,−20° 14′ 44.21″,11.98,498,,0.788,4928+125,unknown,2,
,,,,,,,,−85,,,
K2-302,Aquarius,22h 20m 22.7764s,−09° 30′ 34.2934″,11.98,359.3,,unknown,3297±73,unknown,3,
K2-183,Cancer,08h 20m 01.7184s,14° 01′ 10.0711″,12.85,1083,,unknown,5482±50,unknown,3,
K2-187,Cancer,08h 50m 05.6682s,23° 11′ 33.3712″,12.864,1090,G,0.967,5438±63,unknown,4,
EPIC 212624936,Virgo,14h 02m 29.4565s,−10° 02′ 01.0610″,11.3,,,unknown,5765±170,unknown,2,
K2-211,Cetus,01h 24m 25.4278s,01° 42′ 17.8335″,13.07,894,,0.882,5360±51,unknown,2,
K2-282,Pisces,00h 53m 43.6833s,07° 59′ 43.1397″,14.04,1638,,0.94,5499±109,unknown,3,
K2-223,Virgo,12h 21m 13.4762s,−10° 16′ 55.2962″,11.43,651.3,,1.06,5859±50,unknown,2,
K2-106,Pisces,00h 52m 19.1416s,10° 47′ 40.9037″,12.1,803,,0.95,5613±39,unknown,2,
Pr0211,Cancer,08h 42m 11.4988s,19° 16′ 37.2396″,12.143,599,G9V,0.935,5300±30,0.79,2,
Gliese 180,Eridanus,04h 53m 49.9798s,−17° 46′ 24.294″,10.894,40.3,M2V,0.39,3562,unknown,3,
Gliese 414 [nl],Ursa Major,11h 11m 05.17s,30° 26′ 45.66″,9.67,38.79,K7V,0.65,4120±109,12.4,2,"Binary star system, planets orbiting primary Gliese 414A"
Gliese 2056,Canis Major,07h 12m 04.81s,−24° 53′ 31.49″,10.38,92.8,M0V,0.62,unknown,unknown,2,
HD 25723,Eridanus,04h 04m 22.72s,−12° 47′ 32.27″,5.611,92.8,K1III,2.1,unknown,unknown,2,Giant star host
AU Microscopii,Microscopium,20h 45m 09.53s,–31° 20′ 27.24″,8.73,32.3,M1V,0.5,3700±100,0.022,2,Dust disk in system
K2-38,Scorpius,16h 00m 08.06s,−23° 11′ 21.33″,11.34,630,,1.03,5731±66,unknown,2 (1),Dust disk in system
TOI-178,Canis Major,00h 29m 12.30s,30° 27′ 13.46″,11.95,205.16,K,0.65,4316±70,7.1,6,
